address,comment_star,gmap_src,hotel_name,hotel_star,hotel_url,n_comment,p_Average,p_Excellent,p_Poor,p_Terrible,p_VeryGood,phone,price_range,rank,url
"Jl. Suryotomo 31, Yogyakarta 55122, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.797131,110.368774&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.797131,110.368774&signature=H3vEJjF3TETj-Nb8rKazV5NjDps=",日惹美利亞酒店,星級評等由 Expedia 提供。5 星級飯店 ,https://www.melia.com/en/hotels/indonesia/java/melia-purosani/index.html?utm_campaign=businesslisting_ficha&utm_medium=textlink&utm_content=5706&utm_source=tripadvisor&cvosrc=display.tripadvisor.textlink_businesslisting_ficha-TW-d-tripadvisor_tripadvisor-5706_no-no_no&cvo_campaign=textlink_businesslisting_ficha-TW-d-tripadvisor&cvo_pid=tripadvisor-5706&cvo_placement=tripadvisor-5706&cvo_adid=tripadvisor.textlink_businesslisting_ficha-TW-d-tripadvisor&cvo_creative=no-no#ectrans=1,"1,478 則評論",11%,39%,3%,1%,46%,8009880700,"NT$1,785 - NT$3,362 (根據標準客房的平均房價) ",排名第 21 (共 213 家) 的日惹飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294230-d302635-Reviews-Melia_Purosani-Yogyakarta_Java.html
"Jl. Pantai Kuta, Br. Pande Mas Kuta, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.720594,115.169708&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.720594,115.169708&signature=oguaj8qhaSDEutN-R8td973a1Oc=",巴厘島庫塔海灘喜來得酒店,星級評等由 Accor 提供。5 星級飯店 ,https://www.accorhotels.com/zh/hotel-8151-%E9%9B%85%E9%AB%98%E9%85%92%E5%BA%97%E9%9B%86%E5%9B%A2%E7%AE%A1%E7%90%86%E7%9A%84%E5%B7%B4%E5%8E%98%E5%B2%9B%E5%BA%93%E5%A1%94%E6%B5%B7%E6%BB%A9%E4%BC%A0%E7%BB%9F%E9%85%92%E5%BA%97/index.shtml,"1,543 則評論",11%,47%,2%,1%,39%,+62 361 3007080,"NT$1,607 - NT$3,362 (根據標準客房的平均房價) ",排名第 23 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d3947950-Reviews-The_Kuta_Beach_Heritage_Hotel_Bali_Managed_by_Accor-Kuta_Kuta_District_Bali.html
"Jl. Penestanan, Sayan, Ubud 80571, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.504938,115.245132&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.504938,115.245132&signature=dcj-sIfEq6oVEB-08WjekndrThU=",大廈度假村酒店,星級評等由 Expedia 提供。5 星級飯店 ,,"1,350 則評論",9%,52%,4%,3%,32%,,"NT$1,934 - NT$4,939 (根據標準客房的平均房價) ",排名第 94 (共 199 家) 的烏布飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297701-d500134-Reviews-The_Mansion_Resort_Hotel_Spa-Ubud_Bali.html
"Jl. Wana Segara No. 2-5, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.736690,115.165672&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.736690,115.165672&signature=ONjCHIhSIQTqdaFrkv7w0PALN-w=",阿斯頓庫塔酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,021 則評論",13%,38%,2%,2%,45%,,"NT$1,577 - NT$3,005 (根據標準客房的平均房價) ",排名第 38 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1532058-Reviews-Aston_Kuta_Hotel_Residence-Kuta_Kuta_District_Bali.html
"Jl. Palagan Tentara Pelajar, Ngaglik, Yogyakarta 55581, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.740460,110.373566&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.740460,110.373566&signature=fMZz0wAb6THsyxLcLCffd-ay2SQ=",日惹凱悅酒店,星級評等由 Expedia 提供。4 星級飯店 ,https://yogyakarta.regency.hyatt.com/en/hotel/home.html,"1,788 則評論",9%,56%,2%,1%,32%,+62 274 869123,"NT$1,607 - NT$2,767 (根據標準客房的平均房價) ",排名第 2 (共 6 家) 的加格力克飯店,https://www.tripadvisor.com.tw/Hotel_Review-g3916131-d307076-Reviews-Hyatt_Regency_Yogyakarta-Ngaglik_Yogyakarta_Java.html
"Jl. Urip sumoharjo no. 37, Yogyakarta 55222, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.782833,110.381927&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.782833,110.381927&signature=5tzWULNU5WzSBu3IZOeGAOgwMLU=",日惹大阿斯頓酒店,星級評等由 Expedia 提供。5 星級飯店 ,,"1,127 則評論",7%,51%,1%,1%,40%,,"NT$1,369 - NT$2,440 (根據標準客房的平均房價) ",排名第 16 (共 213 家) 的日惹飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294230-d2422977-Reviews-Grand_Aston_Yogyakarta-Yogyakarta_Java.html
"Jl. Dr Setiabudi no. 269 - 275, Bandung 40154, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-6.854818,107.594719&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-6.854818,107.594719&signature=Dz-7N90bBUDcIJgwOiEbW2lKFbo=",塞提雅布迪美居酒店,星級評等由 Accor 提供。5 星級飯店 ,,"1,516 則評論",4%,64%,1%,1%,30%,,"NT$1,577 - NT$2,856 (根據標準客房的平均房價) ",排名第 23 (共 233 家) 的萬隆飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297704-d6499583-Reviews-Grand_Mercure_Bandung_Setiabudi-Bandung_West_Java_Java.html
"Jl. Pantai Kuta, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.712735,115.167931&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.712735,115.167931&signature=7srTVq7k0pzR3YQens_fhHYxpKk=",峉里島庫塔海灘馨樂庭飯店,星級評等由 Expedia 提供。4 星級飯店 ,https://www.citadines.com/en/indonesia/bali/citadines-kuta-beach-bali/index.html?utm_source=tripadvisor&utm_medium=business_advantage&utm_campaign=citadines_kuta_beach_bali,"1,114 則評論",14%,37%,5%,4%,40%,,"NT$1,815 - NT$2,975 (根據標準客房的平均房價) ",排名第 50 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d6960687-Reviews-Citadines_Kuta_Beach_Bali-Kuta_Kuta_District_Bali.html
"Jl. Gajah Mada no. 67, Yogyakarta 55112, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.797726,110.372627&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.797726,110.372627&signature=89co64bcdhzd8FesYwIaW6KvyQ8=",加姆布魯烏克馬里博洛飯店,星級評等由 Expedia 提供。5 星級飯店 ,https://bookings.jambuluwuk.com/bookings/indexpackdetail?propertyId=MjMz&individual=true,"1,122 則評論",16%,28%,4%,2%,50%,+62 274 585655,"NT$1,071 - NT$3,421 (根據標準客房的平均房價) ",排名第 43 (共 213 家) 的日惹飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294230-d2446501-Reviews-Jambuluwuk_Malioboro-Yogyakarta_Java.html
"Jl. Jend A. Yani Utara, Perum Riverside C-1, Malang 65126, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.926384,112.649193&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.926384,112.649193&signature=ZQ_rH4dg3Nc0QoJ7BRYqHecwODc=",馬蘭哈里斯會議飯店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,073 則評論",13%,36%,1%,1%,49%,,"NT$1,011 - NT$2,320 (根據標準客房的平均房價) ",排名第 4 (共 60 家) 的瑪琅飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297710-d3870219-Reviews-HARRIS_Hotel_Conventions_Malang-Malang_East_Java_Java.html
"Jl. Gunung Sahari no. 1, Jakarta 14420, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-6.138372,106.831779&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-6.138372,106.831779&signature=PbypT7RbpPcuXI-T3ecv6jSo8jQ=",雅加達諾富特曼加達廣場飯店,星級評等由 Accor 提供。4 星級飯店 ,,"1,437 則評論",18%,33%,5%,2%,42%,,"NT$1,577 - NT$2,202 (根據標準客房的平均房價) ",排名第 48 (共 478 家) 的雅加達飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294229-d578291-Reviews-Novotel_Jakarta_Mangga_Dua_Square-Jakarta_Java.html
"Jl. Pantai Kuta, Legian 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.710603,115.168060&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.710603,115.168060&signature=kFozwj27VHhwmez2OBQ0qCsjLRU=",阿樂姆庫度假村,星級評等由 Expedia 提供。4 星級飯店 ,,"1,009 則評論",12%,44%,3%,2%,39%,,"NT$1,874 - NT$3,957 (根據標準客房的平均房價) ",排名第 22 (共 89 家) 的雷吉安飯店,https://www.tripadvisor.com.tw/Hotel_Review-g608487-d308723-Reviews-Alam_KulKul_Boutique_Resort-Legian_Kuta_District_Bali.html
"Jl. Engku Putri, Batam Center, Riau Islands Province 29461, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=1.130486,104.054016&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|1.130486,104.054016&signature=EQ_Fm_zHY5kZj0FrFUMuik-PWzQ=",哈里斯酒店巴淡島中心,星級評等由 Expedia 提供。3 星級飯店 ,,"1,639 則評論",12%,38%,1%,1%,48%,,"NT$982 - NT$1,904 (根據標準客房的平均房價) ",排名第 2 (共 11 家) 的中巴淡飯店,https://www.tripadvisor.com.tw/Hotel_Review-g3477616-d2295860-Reviews-HARRIS_Hotel_Batam_Center-Batam_Center_Batam_Riau_Archipelago_Riau_Islands_Province.html
"Senggigi Beach St., Senggigi, Lombok 83355, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.499941,116.046181&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.499941,116.046181&signature=jdup7Q6zAMZy9VjPXYSuomR7LrY=",賽吉吉海灘酒店,星級評等由 Expedia 提供。3 星級飯店 ,,"1,008 則評論",13%,37%,5%,3%,42%,,"NT$1,785 - NT$3,719 (根據標準客房的平均房價) ",排名第 12 (共 29 家) 的Senggigi飯店,https://www.tripadvisor.com.tw/Hotel_Review-g1592993-d300419-Reviews-Kila_Senggigi_Beach_Lombok-Senggigi_Lombok_West_Nusa_Tenggara.html
