address,comment_star,gmap_src,hotel_name,hotel_star,hotel_url,n_comment,p_Average,p_Excellent,p_Poor,p_Terrible,p_VeryGood,phone,price_range,rank,url
"Jl. Raya Mangsit | Senggigi Beach, Mangsit, Senggigi, Lombok 83355, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.483502,116.035057&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.483502,116.035057&signature=glz4xh6RzKalPD_ig_r_axY7RDI=",龍目島旅游度假村,星級評等由 Expedia 提供。3 星級飯店 ,,"1,049 則評論",14%,35%,5%,1%,45%,+62 812-2353-4082,"NT$1,785 - NT$4,760 (根據標準客房的平均房價) ",排名第 7 (共 7 家) 的Mangsit飯店,https://www.tripadvisor.com.tw/Hotel_Review-g2708413-d299126-Reviews-Holiday_Resort_Lombok-Mangsit_Senggigi_Lombok_West_Nusa_Tenggara.html
"Jl. Legian no. 328 Legian Kelod, Legian 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.708316,115.172157&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.708316,115.172157&signature=GM9cKtg-F3HLovLmuFZdbcBJVoU=",峇厘島雷吉安美居飯店,星級評等由 Accor 提供。4 星級飯店 ,https://www.accorhotels.com/zh/hotel-8450-%E5%B7%B4%E5%8E%98%E5%B2%9B%E5%8B%92%E5%90%89%E5%AE%89%E7%BE%8E%E5%B1%85%E9%85%92%E5%BA%97/index.shtml,"1,455 則評論",14%,41%,4%,3%,38%,+62 361 9386100,"NT$1,279 - NT$2,231 (根據標準客房的平均房價) ",排名第 29 (共 89 家) 的雷吉安飯店,https://www.tripadvisor.com.tw/Hotel_Review-g608487-d7159969-Reviews-Mercure_Bali_Legian-Legian_Kuta_District_Bali.html
"Jl. Legian no. 73, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.718969,115.174744&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.718969,115.174744&signature=ytV-aiH5q0LKB_AnVt-4CYOCcnA=",夏爾帕古塔飯店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,065 則評論",13%,37%,2%,1%,47%,,"NT$982 - NT$2,112 (根據標準客房的平均房價) ",排名第 37 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d4587462-Reviews-Harper_Kuta-Kuta_Kuta_District_Bali.html
"Jl. Bakung Sari, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.725192,115.171646&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.725192,115.171646&signature=BCvcXMr_bIYcL_hcRSVQ5QlS0Rw=",拉瑪亞那度假村,星級評等由 Expedia 提供。4 星級飯店 ,,"1,730 則評論",12%,43%,4%,2%,39%,,"NT$1,666 - NT$5,266 (根據標準客房的平均房價) ",排名第 41 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d304646-Reviews-Ramayana_Resort_Spa-Kuta_Kuta_District_Bali.html
"Jl. Raya Seminyak 500, Seminyak 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.696693,115.168503&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.696693,115.168503&signature=b4hXVGQYL7YMcguxUe73V_yJEBA=",塞米亞克哈文酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"2,008 則評論",15%,33%,5%,4%,43%,,"NT$1,726 - NT$4,254 (根據標準客房的平均房價) ",排名第 80 (共 148 家) 的塞米雅客飯店,https://www.tripadvisor.com.tw/Hotel_Review-g469404-d1450614-Reviews-The_Haven_Bali-Seminyak_Kuta_District_Bali.html
"Jl. Pintu Satu Senayan | Central Jakarta, Jakarta 10270, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-6.223127,106.802925&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-6.223127,106.802925&signature=eHF3v7L__7dPvOkSsRb_7Ou4s7U=",世紀公園酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,065 則評論",17%,27%,4%,1%,51%,,"NT$1,934 - NT$3,005 (根據標準客房的平均房價) ",排名第 74 (共 478 家) 的雅加達飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294229-d450823-Reviews-Century_Park_Hotel-Jakarta_Java.html
"Jl. Hayam Wuruk no. 36-37, Jakarta 10120, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-6.160167,106.819588&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-6.160167,106.819588&signature=jBti0dS6iWCcyeKtLOFNUz2dztk=",雅加達哈莫尼美爵酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,091 則評論",10%,40%,2%,2%,46%,,"NT$1,131 - NT$3,213 (根據標準客房的平均房價) ",排名第 75 (共 478 家) 的雅加達飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294229-d3530328-Reviews-Grand_Mercure_Jakarta_Harmoni-Jakarta_Java.html
"Jl. Danau Tamblingan no. 99A, Sanur, Denpasar 80228, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.691462,115.262527&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.691462,115.262527&signature=R6i2QcuGy-TWKj5opk_lzp4AvmI=",瓦圖吉姆巴爾貝爾雷索特瑞士酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,676 則評論",12%,38%,3%,2%,45%,,"NT$1,904 - NT$3,064 (根據標準客房的平均房價) ",排名第 33 (共 84 家) 的沙努飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297700-d5292367-Reviews-Swiss_Belresort_Watu_Jimbar-Sanur_Denpasar_Bali.html
"Jl. Dreded Pahlawan, Mulyaharja | Bogor Nirwana Residence, Bogor 16132, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-6.636597,106.795883&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-6.636597,106.795883&signature=tgu9MKk4meLAWmgL06rT6ultv5o=",茂物阿斯頓度假酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,320 則評論",10%,35%,1%,1%,53%,,"NT$1,607 - NT$3,600 (根據標準客房的平均房價) ",排名第 5 (共 79 家) 的茂物飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297706-d1797770-Reviews-Aston_Bogor_Hotel_and_Resort-Bogor_West_Java_Java.html
"Jl. Kartika Plaza Kuta 42, Kuta 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.733256,115.167915&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.733256,115.167915&signature=0yCAgfKy5-M2caywbBX3KV7zJrs=",峇里島庫塔伊甸飯店 - 道吉亞飯店管理,星級評等由 Expedia 提供。4 星級飯店 ,,"1,571 則評論",15%,34%,2%,1%,48%,,"NT$803 - NT$3,273 (根據標準客房的平均房價) ",排名第 48 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d4107186-Reviews-EDEN_Hotel_Kuta_Bali_Managed_by_Tauzia-Kuta_Kuta_District_Bali.html
"Gili Indah-Pamenang, West Nusa Tenggara 83355, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.347481,116.028053&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.347481,116.028053&signature=H5xsgHdaXXq_9_fd13bnGpWT-iM=",阿斯頓日落海灘度假村,星級評等由 Expedia 提供。4 星級飯店 ,,"1,614 則評論",15%,34%,5%,5%,41%,,"NT$1,636 - NT$3,302 (根據標準客房的平均房價) ",排名第 15 (共 41 家) 的吉利特拉萬安飯店,https://www.tripadvisor.com.tw/Hotel_Review-g664666-d6557938-Reviews-Aston_Sunset_Beach_Resort-Gili_Trawangan_Gili_Islands_Lombok_West_Nusa_Tenggara.html
"Jl. Jenggala, Tuban, Kuta 80001, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.736236,115.164352&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.736236,115.164352&signature=40fqADr2VHKnCwmu65xakfaO2wQ=",拉瑪海灘度假村,星級評等由 Expedia 提供。4 星級飯店 ,,"1,606 則評論",7%,56%,1%,1%,35%,,"NT$1,458 - NT$4,314 (根據標準客房的平均房價) ",排名第 1 (共 24 家) 的圖班飯店,https://www.tripadvisor.com.tw/Hotel_Review-g562690-d320028-Reviews-Rama_Beach_Resort_and_Villas-Tuban_Kuta_Kuta_District_Bali.html
"Jalan Pantai Kuta, Kuta 80225, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.719333,115.169662&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.719333,115.169662&signature=V42l6na_bRXKSasLgC67k7WqzJE=",庫塔海景精品度假村,星級評等由 Expedia 提供。4 星級飯店 ,,"1,629 則評論",10%,53%,3%,1%,33%,,"NT$2,023 - NT$3,927 (根據標準客房的平均房價) ",排名第 12 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d1461739-Reviews-Kuta_Seaview_Boutique_Resort_Spa-Kuta_Kuta_District_Bali.html
"Jalan Kartika Plaza No 127, Kuta 80361, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.735307,115.167664&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.735307,115.167664&signature=g_c8vp4KDfcOXKo0snbR0AlxLB0=",巴厘維拉酒店,星級評等由 Expedia 提供。4 星級飯店 ,http://www.thevirabali.com/en/special-offers-in-bali.html,"1,030 則評論",8%,50%,2%,1%,39%,+62 361 765700,"NT$1,815 - NT$4,403 (根據標準客房的平均房價) ",排名第 19 (共 254 家) 的庫塔飯店,https://www.tripadvisor.com.tw/Hotel_Review-g297697-d505558-Reviews-The_Vira_Bali_Boutique_Hotel_Suite-Kuta_Kuta_District_Bali.html
"Jl. Jenderal Sudirman no. 9, Yogyakarta 55233, Indonesia", 4.5 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-7.782310,110.368340&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-7.782310,110.368340&signature=bx1Si4AkwBXASjpxXv94E2F9LVc=",日惹鳳凰酒店-美憬閣,星級評等由 Accor 提供。5 星級飯店 ,https://www.accorhotels.com/zh/hotel-5451-%E7%BE%8E%E6%86%AC%E9%98%81%E7%B4%A2%E8%8F%B2%E7%89%B9%E6%97%A5%E6%83%B9%E5%87%A4%E5%87%B0%E9%85%92%E5%BA%97/index.shtml,"3,595 則評論",7%,61%,1%,1%,30%,+62 274 566617,"NT$1,845 - NT$3,154 (根據標準客房的平均房價) ",排名第 13 (共 213 家) 的日惹飯店,https://www.tripadvisor.com.tw/Hotel_Review-g294230-d446805-Reviews-The_Phoenix_Hotel_Yogyakarta_MGallery_Collection-Yogyakarta_Java.html
"Jl. Raya Petitenget no. 1000x, Seminyak 80361, Indonesia", 4.0 ,"https://maps.google.com/maps/api/staticmap?&channel=ta.desktop&zoom=17&size=379x270&client=gme-tripadvisorinc&sensor=false&language=zh_TW&center=-8.677571,115.157227&maptype=roadmap&&markers=icon:http%3A%2F%2Fc1.tacdn.com%2Fimg2%2Fmaps%2Ficons%2Fresponsive_map_pins_v1%2FH_pin.png|-8.677571,115.157227&signature=smGBDkF9wZm2UgQ-MohNL3lskAk=",朗邦別墅酒店,星級評等由 Expedia 提供。4 星級飯店 ,,"1,186 則評論",10%,49%,2%,1%,38%,,"NT$1,845 - NT$4,373 (根據標準客房的平均房價) ",排名第 62 (共 148 家) 的塞米雅客飯店,https://www.tripadvisor.com.tw/Hotel_Review-g469404-d450866-Reviews-Hotel_Vila_Lumbung-Seminyak_Kuta_District_Bali.html
